(Cdad. Mtar.),(CAD. MTAR.)
vigorar,энергичный
vigorexia,Вигорексия
vigorizar,информировать
vigorizarse,нерешительный
vigorosidad,энергично
vigoroso,энергичный
viguería,Вигуэль сам
vigueta,балка
viguetaje,приоритет
vigésimo,двадцатый
vigía,высматривать
vigüela,Вигюэла
vihuela,Vihuela.
vihuelista,Vihuelista
vijúa,Видюа.
vikingo,викинг
vil,вил
vilagómez,Vilagómez.
vilano,Вилано.
vileza,видимость
vilhorro,Вильторро
vilipender,Вилипендер
vilipendiar,осторожность
vilipendio,выравнивание
vilipendioso,Вилипедионо.
villa,городок
villaje,Деревня
villanada,Вилланада.
villanaje,Селлание
villanal,Вилланель
villancejo,Villancejo
villancete,Villancete
villanchón,Villachón
villancico,Кэрол
villanería,Вильянерия
villanesca,Villanesca
villanescamente,Владельно
villanesco,Вилланаеско
villanismo,Вильянизм
villano,злодей
villanía,злодейство
villar,Виллар.
villazgo,Виллазго.
villero,Вильбер
villorisco,Villorisco
villorrio,Виллыо
villoría,Виллоратор.
villorín,Вильорин
vilo,Вило.
vilordo,Нильордо.
vilorta,Вилорта
vilorto,Вилорто.
vilote,вилок
vilque,Вилка
viltrotear,Вильтрот
vilático,Vilatico.
vimbre,победа
vimbrera,Вимбрера
vinagrada,Vinagrada
vinagrar,винграсс
vinagre,уксус
vinagrera,укреплять
vinagrero,уксус
vinagrería,уксус
vinagreta,винегрет
vinagrillo,Винагрильо
vinagroso,виноградный
vinagrón,Винагрон
vinajeras,укреплять
vinal,Vinal
vinamá,Vinamá.
vinapón,Винин
vinar,виноградный
vinariego,Винариего.
vinario,виноградный
vinarra,Винарра.
vinatero,винт
vinatería,Ликеро-водочный магазин
vinaza,Виназа.
vinazo,Виназо.
vinca,Винца
vincapervinca,перерыв
vincha,Винча
vinchuca,винчука.
vinco,Vinco.
vinculación,Связь
vincular,связь
vinculo,связь
vindicación,оправдание
vindicador,VINDICATOR
vindicar,оправдание
vindicativo,мстительный
vindicatorio,видикут
vindicta,виндика
vinel,Винел.
vinero,Винее
vinería,Винер
vineta,пункт списка
vinicultor,винодельник
vinicultura,виноградарство
viniente,Винент.
vinificación,винификация
vinillo,Винильо.
vino,вино
vinoco,Виноко.
vinolencia,Винолентность
vinolento,Виноленто.
vinos,Вина
vinoso,пропустить
vinote,виномета
vinotería,Винартери
vinteniar,Винтник
vinterana,Винтра
vintén,Винт
vinícola,Вино
vinífero,Вино
vinóculo,винокулум
vio,пила
viola,альта
violación,нарушение
violado,сломанный
violador,насильник
violar,изнасилование
violencia,насилие
violentador,виолер
violentamente,насильственно
violentar,сила
violentarse,жестокий
violento,жестокий
violero,затруднительное положение
violeta,пурпурный
violetal,Ворота
violetera,вершина
violetero,насильственно
violeto,Фиолетовый.
violin,скрип
violinista,скрипач
violinístico,скрипичности
violista,альтист
violoncelista,виолончелист
violoncelo,виолончель
violonchelista,виолончелист
violonchelo,виолончель
violoncillo,Violoncillo.
violáceas,Фиолетовый
violáceo,Vaileto.
violín,скрип
violón,бас
viperina,Viperina.
viperino,серпантина
vipéreo,Vipéreo
vipéridos,Vipéridos.
viquingo,Викинго.
vira,волдырь
vira-y-vira,Вира-Й-Вира
virabarquina,Virabarquina.
viracho,Вирчо.
viracocha,Виракоча
virada,растительность
virador,тонер
viraginidad,добродетельство
virago,вираго
viraje,перемена
viral,популярный
virar,растительность
virarse,добродетель
viratón,Viratón.
viravira,Виравира
virazón,Вираз.
vireónidas,Vireónidas
vireónidos,Vireónidos
virga,Вирга.
virgen,девственник
virgilio,Virgilio.
virginal,виргинал
virginalero,Виргинал
virginia,Вирджиния
virginidad,девственность
virgo,Дева
virgueria,Virgueria.
virguería,Virgería.
virgular,Virgulary.
virgulilla,основной
virgíneo,Virgíneo.
viril,вируемый
virilidad,вирус
virilismo,Виримол.
virilizar,вирилизировать
virilizarse,Вирилизировать
viringo,Виринго.
virio,Вирио.
virion,Вирион.
viripotente,вирипотент
viroca,Вирокаро.
virofijador,Вирофиджадор.
virola,Вирула
virolento,Вироленто.
viroleta,Виролелет.
virolicida,Виролицид
virolo,Вироло.
virología,вирусология
viroloso,Вирролос
virosa,Вируса
virosis,вирус
viroso,Виросо.
virotada,библиотека
virotazo,Виротазо.
virote,Airbox.
virotismo,Виротизмо.
virque,добродетель.
virreina,Витрин
virreinal,вицерегал
virreinato,Наместник
virreino,Вицерино.
virrey,вицевый
virria,Вирриа
virrioso,вирус
virtual,виртуальный
virtualidad,виртуальность
virtud,добродетель
virtuosidad,виртуозность
virtuosismo,Виртуозность
virtuoso,добродетельный
virueco,Viueco.
viruela,осник
viruelas,осник
virule,вирул
virulencia,вирулентность
virulento,вирулентный
virulicida,Вирулицид
virulilla,вируема
virus,вирус
virusa,Вируса.
virusología,Вирусология
viruta,чип
viruñas,Viruñas.
virón,Вирон.
vis,Поиску
vis a vis,Поиску
visa,виза
visación,посещение
visado,виза
visaje,посадка
visajero,рост
visajista,Visajista.
visante,посетитель.
visar,виза
viscacha,вискача
viscachera,Viscachera
viscera,Viscera.
visceral,висцеральный
visco,Visco.
viscosa,вискоза
viscosidad,идти
viscosilla,Viscosilla
viscoso,вязкий
visear,посетитель.
visera,врата
visibilidad,видимость
visibilizar,Визибилизировать
visible,видимый
visiblemente,заметно
visigodo,Визиго
visigótico,Visigothic
visillo,кружевной занавес
visillos,Чистые шторы
visionar,Посмотреть
visionaria,Провидца
visionario,провидца
visionudo,VisionuDo.
visiotelefonía,Visiotelephony
visir,визжащий
visita,посещать
visita domiciliaria,Домашний визит
visitación,посещение
visitador,Посетитель
visitadora,Посетитель
visitante,посетитель
visitar,посещать
visitarse,Посещать
visitas,визиты
visiteo,Визит.
visitero,Я вижу
visitón,Посещение дерева
visivo,Висито
visión,Посмотреть
vislumbrar,случайно заметить
vislumbre,случайно заметить
viso,Viso.
vison,мирка
visor,видоискатель
visorio,Visorio.
vispera,канун
vista,Посмотреть
vista de lince,Lynx View.
vista de águila,Вид на орел
vista líncea,Прямая трансляция
vistas,взгляды
vistazo,взглянуть мельком
vistear,одеваться
vistillas,Вестилас
visto,видимый
vistor,Вистор
vistosidad,красочный
vistoso,красочный
visturía,Visturía.
visual,визуальный
visualidad,визуальность
visualizar,визуализировать
visuauditivo,визуимый
visura,Висера
vitacea,Vitacea.
vitacura,Vitacura.
vital,жизненно важный
vitalicio,жизнь
vitalidad,жизненная сила
vitalismo,Витализм
vitalizar,витализация
vitamina,витамин
vitaminado,Витамин
vitaminar,витамин
vitaminizar,витаминизировать
vitamínico,Витамин
vitando,Витадо.
vitar,витар
vitela,велма
vitelo,Витело.
viticultor,винодел
viticultura,виноградарство
vitiligo,витилиго.
vitivinicultura,Витивоводство
vitivinícola,витужильника
vitiviti,витивити
vito,Вито.
vitoco,Vitoco.
vitola,группа
vitoquear,витель
vitoquímica,Витохимия
vitor,Витрина
vitorear,жизненно важный.
vitral,Витражное стекло
vitrificación,витация
vitrificar,остерезируйте
vitrina,витрина
vitrinear,Витринеар
vitriolo,витриол
vitualla,жизненная сила.
vituallar,витрина
vitular,витание
vituperable,витация
vituperación,витация
vituperador,витатор
vituperar,дешифы
vituperio,витация
vituperioso,Vituperioso.
vituperoso,Vitupers
vitícola,виноградарство
vitífero,Виточник
vitíligo,витилиго.
vitógeno,витоген
viuda,вдова
viudal,вдова.
viudedad,вдова
viudez,введение
viudita,вдова
viudo,вдовец
viva,жить
vivac,бивуак
vivacidad,борьба
vivales,Вивалось.
vivamente,ярко
vivandera,Вивангера.
vivandero,вивандер
vivaque,бивуак
vivaquear,бивуак
vivar,жить в
vivaracho,Виварако.
vivario,Vivario
vivas,Жить
vivaz,виварный
vivencia,опыт
vivenciar,Дано
vivera,Вивера
viveral,Пишечный
vivero,питомник
viverra,Вивьерра.
vives,ты живешь
viveza,живость
vividero,Видо.
vividizo,яркий
vivido,яркий
vividor,in vivo.
vivienda,места жительства
viviendo,жизнь
viviente,жизнь
vivificación,вивизация
vivificador,вивификатор
vivificar,отказ
vivificativo,отвратительный
viviparo,вививариус
vivir,жить
vivir de milagro,жить в чуде
vivir sobre el país,жить на стране
vivisección,вивисекция
vivo,жить
vivos,Жить
vivérridas,Vivéridas
vivífico,печень
vivíparo,вививариус
vizcacha,Вискача
vizcachera,Бискай
vizcainada,Бискай
vizcaitarra,Vizcaitarra.
vizcaína,витрина
vizcaíno,Vizcaino.
vizconde,виконт
vizcondesa,Бискай
viznaga,Визнага
viático,Вариация
viña,виноградник
viñadero,Viñado.
viñado,Viño.
viñador,виноградный
viñatero,винт
viñedo,виноградник
viñero,Виноградник
viñeta,пункт списка
vladimir,Владимир.
vocablo,слово
vocabulario,словарь
vocabulista,Vocabulista
vocacion,призвание
vocación,призвание
vocal,вокал
vocalario,вокал
vocalismo,вокализма
vocalista,вокалист
vocalización,вокализация
vocalizar,вокализировать
vocalizarse,вокализировать
vocalmente,вокально
vocativo,ворота
voceador,голос
vocear,плакать
vocejón,VoiceJón.
vocero,пресс-секретарь
vocería,голосование
vocerío,VOURIOO.
vociferación,голосование
vociferador,громкий
vociferar,кричать
vocinglear,Oaringlear
vocingleo,вояж
vocinglerear,вандере.
vocinglero,громкий
vocinglería,зрелище
vocálico,вокальный
vodca,водка
vodevil,водевиль
vodka,водка
vola,Вола
volada,Бегая
voladera,Flyrade
voladero,Флаг.
voladizo,кантилевер
volado,пролетел
volador,летать
voladora,летать
voladura,взрыв
volandas,Летать
volandear,Воландареера
volandera,Волан
volandero,Volandero.
volandillas,Стекло
volante,руль
volantona,Volantone.
volantusa,Volantusa.
volantuzo,Volantuzo.
volantín,Volantín.
volantón,возьми
volapié,закуска
volapuk,Волапук.
volar,летать
volar con pólvora,Летать с порохом
volar la mina,летать на шахте
volarse,летать
volata,Волата
volate,Волайте
volateo,бить
volatero,общий
volatería,Воровство
volatilidad,волатильность
volatilización,волатилизация
volatilizador,волатилизатор
volatilizar,волатилизировать
volatinear,Летучая
volatineo,Волатине.
volatinero,Волатинер
volatizar,волят
volatín,переоценка
volcable,наглость
volcador,Вулкадор.
volcadura,опрокидывание
volcan,вулкан
volcanada,вулканада
volcancito,Вукансито
volcanismo,Вулканизм
volcar,перевернуть
volcarse,перевернуть вверх дном
volcán,вулкан
volcánico,вулканический
volea,залп
voleador,залп
volear,залп
volearse,летать
voleibol,волейбол
volemia,залп
voleo,залп
volfram,Волькрам
volframio,залп
volframita,Вольфрамит
volga,Волга.
volición,воля
volido,воlousage.
volitar,Воля
volitivo,волевой
volkswagen,Volkswagen
volotear,волита
volovan,Волован
volquear,стадо
volquearse,повернись
volquete,свалка
volquetero,Прозрачный
volt,Вольт
voltaico,вольтаичный
voltaje,Напряжение
voltamperio,Вольтамперио
voltariedad,Вольтарнинг
voltario,объем
volteada,повернувшийся
volteadero,Vistadero
volteado,развернулся
volteador,тумблер
voltear,кувырок
voltearepas,Volteepas.
voltearse,Повернись
voltejar,стадо
voltejear,стадо
volteo,Voltteo.
voltereta,Somersault
volterianismo,Voltairianism
volteriano,Voltairian.
volteta,Volteta.
voltimetro,вольтметр
voltio,вольт
voltizo,Представитель
voltura,волом
voltámetro,Вольтаметр
voltímetro,вольтметр
volubilidad,волиность
voluble,непостоянный
volumen,объем
voluminoso,громоздкий
volumétrico,объемный
voluntad,Буду
voluntar,волонтер.
voluntariado,волонтерство
voluntariedad,умышленность
voluntario,волонтер
voluntarioso,приведочный
voluntarismo,волюнтаризм
voluntativo,свободный
voluptad,волей
voluptua,выравнивание
voluptuosidad,сладостранство
voluptuoso,сладострастный
voluta,прокручивать
volvedor,Volvaran.
volver,возврат
volver el rostro,Вернуть лицо
volver en su acuerdo,Вернись
volver la camisa,Назад рубашка
volver la chaqueta,Назад куртка.
volver las espaldas,Назад назад
volver las nueces al cántaro,Назад гайки до кувшина
volver las tornas,повернуть таблицы
volver por sí,идти
volver sobre sí,Вернуться о себе
volverse,стали
volverse la tortilla,Стать тортильем.
volverse sal y agua,стать солью и водой
volvimiento,возвращение
volvo,Volvo.
volátil,волатильный
vomer,вомерил
vomicoso,Вомись
vomitadera,Рвота
vomitado,рвотный
vomitar,барф
vomitera,рвота
vomitina,рвотный
vomitivo,рвота
vomitona,пушистый
vomitorio,рвота
vomiturición,рвота
vomitón,ворота
vopisco,Vopisco.
voqui,Преувеличение
voquible,ворошимый
vorace,Vorace.
voracear,ворощный
voracidad,осторожность
voragine,Ворагина.
voraginoso,Voraginous
vorahunda,Vorahunda
voraz,осторожно
vori,Ворс
vormela,вормала
vortice,вихрь
vortiginoso,ворти
vorágine,Vorágine.
vos,ты
vosco,Vosco.
vosear,Vasear.
voseo,Возе.
voso,VOSO.
vosotras,ты
vosotros,ты
votación,голосование
votada,проголосовали
votador,избирательный
votante,избирательный
votar,голосование
votivo,вот
voto,голосование
voyeur,вуайерист
voz,голос
vozarrona,Возаркона.
vozarrón,Возаррон.
voznar,Возенар.
vr,Ворота
vs.,против.
vt,Вис
vuchén,Вучен.
vudu,вуду
vuecelencia,Вусельство
vuecencia,Валюта
vuelapié,Винсие.
vuelapluma,лихорадки
vuelco,Вращаться
vuelillo,Скорее
vuelo,полет
vuelos,Рейсы
vuelta,колени
vuelta de carnero,Возвращение Рано.
vueltas,Возвращается
vueltero,Венок
vuelto,повернувшийся
vueludo,Проснись
vuestro,ваш
vulcanita,вулканит
vulcanización,вулканизация
vulcanizador,вулканизатор
vulcanizar,вулканизацию
vulgacho,Вульгация
vulgar,вульгарный
vulgarejo,Vulgarejo.
vulgaridad,Вульгарность
vulgarismo,вульгаризм
vulgarización,вульгаризация
vulgarizar,популяризировать
vulgarizarse,вульгаризировать
vulgata,вульгат
vulgo,обычные люди
vulgoso,вузыванные
vulnerabilidad,уязвимость
vulnerable,уязвимый
vulneración,нарушение
vulnerado,уязвимый
vulnerar,ущемлять
vulnerario,Уязвимый
vulpeja,вульпиленовый
vulpino,вульпин
vulpécula,вульпкуле
vulto,Стервятник
vultuoso,эвакуатор
vulturno,Вултурна.
vulturín,Валютный
vultúridas,Vulturids
vultúridos,Vulturids
vulva,вульва
vusted,превысил.
vusté,Vusté.
vusía,выступ
váguido,реванс
válida,действительный
válido,действительный
válvula,клапан
vámonos,Пойдем
vándalo,вандал
vánova,Ванова.
vápulo,Пелодо.
váquira,Вакира.
váquiro,Вакиро.
várgano,Вариация
várice,Варицей
vásculo,почвы
vástago,корень
vástiga,Vastiga.
védil,Ведил.
vélico,Vélico.
véneto,Венето.
vénula,Венела
vértebra,позвоночник
vértex,вершина
vértice,вершина
vértigo,Головокружение
véspero,Весеро
véspidos,Vespidos
vía,через
víbora,змея
víctima,жертва
vídeo,видео
vídeo-cassette,Видеокассета.
vínculo,связь
vínico,Vínico.
vípera,Обоев
víreo,виреон
vírgula,виргул
vírico,популярный
víspera,канун
vítor,связывать
vítreo,стеклоочиститель
vítulo,Писатель
víveres,Скота
vívido,яркий
vómico,воровство
vómito,выбросил
vórtice,вихрь
w,W.
wach,Вахта
wagneriano,Вагнеровский
wagón,Вагон
walabi,Walabi.
wapiti,Wapiti.
warandol,Варандол.
warfarina,Варфарин
washington,Вашингтон
wat,WAT.
water,туалет
water-closet,Водный шкаф.
water-polo,водное поло
waterpolo,водное поло
waterproof,Водонепроницаемый
watt,Ватт.
wattman,Ваттман.
wc,ТУАЛЕТ.
web,Веб
weimaraner,Веймаранер
wendy,Венди.
western,западный
weyler,Вейлер.
whatsapp,WhatsApp
whiski,Whiski.
whisky,виски
whist,вист
widia,Видимость
wifi,вай фай
wiki,вики
wikificar,Варенье
windows,Окна
windsurf,Виндсерф.
winka,WINKA.
wolframio,Wolfram.
wombat,Вомбат.
www,www.
x,Икс
xa,за
xabalconar,XabalConar
xabalonar,Xabalonar.
xah,XAH.
xana,Ксана
xaurado,Xaurado.
xeij,Xeij.
xenogamía,ксеногамия
xenón,ксенон
xerocopia,Ксерокопия
xerocopiadora,Ксерокопия
xerocopiar,Xerocopiar
xerofagía,Сухоядение
xerografiar,Ксерограф
xerografía,ксерография
xerántico,Xerantico.
xicacos,Xicacos
xicaques,XicaQues
xifoideo,XIfoideo.
xifoides,Xifoides
xilino,Xilino.
xilofón,Ксилофон.
xilografía,ксилография
xilográfico,Ксилография
xiloide,Ксилоид.
xilófago,Ксилофаг
xilófono,ксилофон
xilógrafo,ксилограф
xión,Сияние
xococo,Xococo
y,У
"y colorín colorado, este cuento se está acabando","и раскраска Колорадо, эта история заканчивается"
"y colorín colorado, este cuento se ha acabado",И колорин Колорадо эта история закончилась
y todo,и все
ya,Уже
ya se ve,Это уже видно
yaba,ждать
yac,як
yaca,Яка
yacanas,Яканас.
yacaré,Якар.
yacatiang,Якатьян.
yacedor,Айелер
yacente,лежачий
yacer,ложь
yacht,Яхта
yachting,Яхтинг
yacija,яхта
yacimiento,Депозитный
yack,уважение
yaco,Яко.
yactura,Yactura.
yacupuma,Якупума.
yacurutú,Якуруту.
yacutas,Yacutes.
yacán,Якан.
yaganes,Яганы.
yagua,и вода
yagual,Ягуль.
yaguana,Ягуана.
yaguané,Ягуань.
yaguar,Ягуар
yaguareté,Ягуарете.
yaguarundí,Ягурунди
yaguarú,Ягуару.
yaguas,Ягуас
yaguasa,Ягуаса
yagueyes,Yagueyes.
yaguré,Ягуре.
yahourt,Yahourt.
yahuas,Yahuas
yaití,Яii.
yak,як
yakutas,Якутас.
yamanas,Яманас.
yambico,Iambic
yambo,ямб
yanacona,Янакона.
yanaconaje,Янаконаж
yanaconizar,Янаконизировать
yanacón,Янакон
yanaiguas,Yaniguas
yanca,Янка.
yanga,Янга.
yangada,пряжа
yaniqueque,Яникак
yanqui,янки
yanta,Янта.
yantar,Янтар
yanyurén,Yanyurén.
yaná,Яна.
yaourt,Yaourt.
yapa,Yapa.
yapar,Yapar.
yapururo,Япуруро.
yapururú,Япурру.
yaque,в виде
yaquis,Йош
yararaca,Ярарака.
yarará,гремучий
yaraví,Yaraví.
yarda,площадка
yare,Даре.
yarey,Яре.
yariguís,Yariguis.
yarovizar,яровизировать
yarquen,Яркен
yaruros,Ярурос.
yatagán,ятаган
yate,я уже
yatralíptica,Яталиптика.
yatrofa,Yatroba.
yatrofísica,Yatrhphysics
yatrologia,Ятрология
yatrología,Ятрология
yatromancia,yatromancy.
yatrólogo,Ятролог
yaya,Яя.
yayama,Яяма
yayero,yayero.
yayo,Yayo.
yayí,Yayí.
ye,Вы.
yebo,Йобо.
yeco,YECO.
yedra,плющ
yegua,лошадь
yeguacería,Yeguacería
yeguada,шпилька
yeguar,Yeguar.
yeguarizo,Yeguarizo.
yegüerizo,Йегюризо.
yegüero,Йегюро.
yegüería,Экологичность
yeito,Йомано
yelda,Yelda.
yeldar,Yeldar.
yeldarse,Yeldrate.
yelmo,шлем
yema,бутон
yemenita,Йемен
yen,И в
yenda,Yuenda.
yene,вы
yerba,Трава
yerbal,Йербал
yerbar,Yerbar.
yerbatero,Yerbatero.
yerbazal,Yerbazal
yerbear,Yerbear.
yerbera,Yerabera
yerbero,Yerberro.
yerbilla,Шербилья.
yerbo,Yerbo.
yerbonal,Йербонал
yerbío,Yerbío.
yermar,Ермар.
yermo,пустыня
yerna,Йерна
yernera,Апнера.
yerno,зять
yero,Йеро
yerra,Йерра
yerro,Йерро.
yertez,Yerrtez.
yerto,жесткий
yervo,Ерво.
yesal,Ухал
yesar,гипс
yesca,Трут
yesero,штукатурка
yesería,Yensery
yeso,В ролях
yesoso,Эсосо.
yespa,Yespa.
yesque,Мрачный
yesquero,Yesquero
yesífero,Оси
yesón,Дашний
yeta,ИТА
yetar,Гетар
yeyuno,jejunum.
yezgo,Йезо.
yeísmo,Yeismo.
yibuti,Yibouti.
yiddish,идиш
yihad,джихад
yin,Йин
yira,Йира.
yiranta,yranta
yo,я
yocalla,яхта
yod,yod.
yodado,йодадо.
yodar,Я даю
yodizar,йодиз
yodo,йод
yodurar,йодирование
yoduro,Я последний
yodífero,иодливый
yoga,Йога
yogar,йога.
yoghourt,Yoghourt.
yoghurt,Йогурт.
yoglar,Йоглар.
yoglaría,Йоглария
yogui,йог
yogur,йогурт
yogurt,йогурт
yol,Йол
yola,yall.
yole,Йоль
yolero,Йоллер.
yombina,ЙББИН.
yomomo,Йомомо.
yon,Йон.
yonización,Йонизация
yonqui,Йоньки.
yoquepierdismo,Yquepierdismo.
yoqui,Йоки
youtube,YouTube
yoyo,Йоу йоу
ypacarai,YPACARAI.
yperita,Иперата
yuan,юань
yuca,юкка
yucatan,Юкатан
yucatecos,Юкатекос
yudo,Юда
yuga,Юга.
yugada,Югада
yugal,южал
yugar,yugar.
yugicola,jugicola.
yugo,иска
yugoeslava,Югеслава
yugoeslavo,Югослав
yugoslava,Югослава.
yugoslavia,Югославия
yugoslavo,Югослав
yuguero,Yuguero.
yugulación,Югуляция
yugular,ярема
yule,Ёл
yulo,Yulo.
yumbos,Yumbos
yuncas,Yunccas.
yuncir,yungir.
yunga,Юнг.
yungla,Юнгла.
yunque,наковальня
yunta,иска
yuntar,YUNTO.
yuntero,Yuntero.
yuntería,юноши
yunto,иска
yunza,Yunza.
yupe,вход
yuqui,Yuqui.
yuras,Юрас
yuro,Юро.
yurro,юрро.
yurumí,юруми
yuré,юре.
yus,yus.
yusera,Юсера
yusivo,ты
yusión,unusion.
yuso,ЮСО.
yuta,yuta.
yute,джут
yutear,ютри
yuto,Юто.
yuxtacardial,Yuxtacardial.
yuxtalineal,сопоставление
yuxtaponer,впоследствии
yuxtaponerse,союзник
yuxtaposición,сопоставление
yuxtapuesta,союзник
yuyal,Yuyal
yuyo,Yuyo.
yuyuscar,Ююскар.
yuyón,Yuyon
yámbico,Iambic
yátaro,Yátaro.
yátrico,яхта
yégano,Йегано.
yódico,йод
yóquey,жокей
z,Z.
zabacequia,Забачекия
zabalmedina,Забалмедина.
zabida,Zabida
zabila,Zabila
zaborda,Заборда.
zabordación,Zabordation
zabordamiento,Zabordanus.
zabordar,Zabord
zabordo,Забрдо.
zaborra,Заборра
zaborrero,Zaborrero.
zaborro,Zavorro.
zaboyar,Забояр.
zabucar,Забукар.
zabuir,Zabir.
zabullida,Zabullida
zabullir,Забуллир.
zabullirse,Забуль
zabulón,Забулон
zabuquear,Zabuque.
zabuqueo,Zabuqueo.
zacapela,Закапала.
zacapella,Закапелла.
zacatal,Закатал.
zacate,Заканчивать
zacatear,Закатео.
zacateca,Закатека.
zacatecas,Zacatecas
zacatecla,Zacatecla.
zacatilla,Закатилья.
zacatillo,Закатильо.
zacatín,Закатин
zacatón,Закатун.
zacear,Застрем
zacho,Zacho.
zacualtipana,Закартипана.
zacuto,Zacuto.
zade,Zade.
zadorija,Задория.
zaeja,Zaeja.
zafa,Зафа.
zafacoca,Зафакока
zafacón,Зафакон.
zafada,Зафада.
zafado,Зафадо.
zafadura,Зафад.
zafaduría,Сападурия.
zafanarse,Sapfande.
zafante,Сапанте
zafar,Зафар.
zafareche,Zafefeche.
zafariche,ZAFARICHE.
zafarrancho,драки
zafarse,сафали
zafarí,Хранилище
zafería,Безопасность
zafiedad,Завещание
zafio,кататься на лошадях
zafir,сафир.
zafira,Зафира
zafirino,сапфирин
zafiro,Сапфир
zafo,Zafo.
zaforas,Зафры
zafra,Зафра.
zafrero,Zafreo.
zafío,кататься на лошадях
zafíreo,Зафирео.
zafón,Сапон
zaga,назад
zagal,сладость
zagala,ласса
zagalejo,Zagalejo.
zagaletón,Zagaletón.
zagalón,Zagalón.
zagaya,Загая.
zagual,весло
zaguanete,Загунус.
zaguaque,Загуа.
zaguera,Zaguera.
zaguero,Zeguero.
zaguán,прихожая
zagüí,удаление
zahareño,Zahareño.
zaharrón,Zaharrón.
zaharí,Zaharí.
zahena,Чжена.
zaherimiento,неприятный
zaherir,повредить
zaherizar,Zaerize.
zahina,Захина.
zahinas,Захины.
zahonado,насыщенный
zahondar,Zahondar.
zahora,Zahora
zahorar,Zhard.
zahoriar,Zahorar.
zahorra,Заврорра.
zahorí,дозатор
zahuate,Захван.
zahumado,Замумадо.
zahumador,Zahumator.
zahumadura,Захумадура
zahumar,Zahumar.
zahumerio,Zahumery.
zahumo,Жумо.
zahuril,Заурил.
zahurna,Zahurna.
zahurín,Zahurin
zahén,Zahén.
zahón,Zahón.
zahúrda,Zahrda.
zaina,Zaina.
zainería,Zainery
zaino,Zaino
zainoso,Zinoso.
zajarrar,Zaar.
zajarí,Zajarí.
zalacre,Zalacre.
zalagarda,Залагарда.
zalagre,Zalagre.
zalama,Zalama.
zalamear,Zalama.
zalamelé,Zalamelle.
zalamerear,Заламерер
zalamero,смузи
zalamería,лесть
zalea,Zalea.
zalear,Zalear.
zalema,салаам
zalenco,Zalenco.
zalenquear,Заленк
zaleo,Залео.
zallar,ZRALLY
zalles,Zalles.
zalmedina,Zalmedina.
zaloma,Залома.
zalomar,Zalomar.
zalona,Zalona.
zalá,Zala
zamacazo,Замаказо.
zamacuco,Замакуко.
zamacueca,Zamacueca.
zamanca,Zamanca.
zamarra,Zamarra.
zamarrada,Замараградо.
zamarrazo,Zamarrazo.
zamarreada,Замардера
zamarrear,замарар
zamarreo,Zamarreo.
zamarrico,Zamarrico.
zamarrilla,Замаррилла
zamarro,Zamarro.
zamarronear,Zamarrronar.
zamba,Замба.
zambacueca,Замбакука
zambada,Zambada.
zambaigo,Zambaigo.
zambaje,Zambamje.
zambarco,Zambarco.
zambardo,Замбардо.
zambear,Замбар.
zambeque,Zambeque.
zambequería,Zambequería.
zamberío,Zamberry.
zambo,павиан
zamboa,Zamboa.
zamboero,Zammoro.
zambomba,Замбамба.
zambombazo,Замбумбазо
zambombo,Zambombo.
zamborondón,Zamborondon.
zamborotudo,Zamborotudo.
zamborrotudo,Замбротудова.
zambra,Замбра.
zambrera,Zambre.
zambrote,Замброте.
zambucar,zambucar.
zambuir,забир.
zambuirse,Zambuirs.
zambullida,погружение
zambullidor,дайвер
zambullidura,погружение
zambullimiento,дайвер
zambullir,Замбуллир.
zambullirse,Погружение
zambullo,Zambullo.
zambullón,погружение
zambumbia,Zambumbia.
zambutir,Замбутир.
zambutirse,Самбут сами
zambón,Zambón.
zamora,замора
zampa,Zampa
zampabodigos,Zampabodigos.
zampabollos,Zampabollos
zampacuartillos,Zampaccuartillos.
zampalimosnas,Zampalesianos.
zampapalo,Zampapaalo.
zampaplús,ZampApplus.
zampar,войти
zamparse,убрать
zampatortas,Zampaattas.
zampeado,Zampeado.
zampear,Zampear.
zampona,панпап
zampoñas,Zampoñas.
zampuzar,Заммузар.
zampuzarse,Зампуз
zampuzo,Zampuzo.
zampón,Zampón.
zamucos,Zamucos.
zamurgido,Замурген
zamurgir,Замургир.
zamuro,Замуро.
zana,Зана
zanagoria,Занагория
zanahoria,морковь
zanahoriate,ZANAHORIATE.
zanate,Занат.
zanca,Zanca.
zancada,шайд
zancadilla,споткнулся
zancadillear,Акалакар.
zancajada,нападающий
zancajear,Люк вверх
zancajera,Акагора
zancajiento,Достижение
zancajo,Известный
zancajoso,Неотложный
zancajudo,Настигнуть
zancarrón,Zancarón.
zancazo,Zangazo.
zanco,поручитель
zancudero,Ватный
zancudo,москит
zancón,Zancon.
zandía,Вязание
zanga,Zanga.
zangaburra,Зангабурра
zangala,Zangala
zangamanga,Зангаманга
zanganada,Занганада.
zangandongo,Zangandongo.
zangandullo,Zangandullo.
zangandungo,Zangandungo.
zanganear,Zanganea.
zanganeo,Zanganeo.
zanganería,Zanganería
zangano,дрон
zangar,Zangar.
zangarrear,Зангаррер
zangarriana,Zangarriana.
zangarro,Zangarro.
zangarroso,Зангаррозо
zangarse,Zangue.
zangarullón,Zangarullón
zangaño,дрон
zango,Zango.
zangolotear,озвучивать
zangolotearse,озвучивать
zangoloteo,покачиваться
zangolotino,Занголотино.
zangorrear,Zangorrate
zangotear,Zangotote.
